Company Name,Ticker,Country,Industry,Year,Revenue,Revenue Unit,Net Income,Total Assets,Operating Cash Flow
"Fortinet, Inc.",FTNT,United States,Software - Infrastructure,2023,5304800000.0,USD,1147800000.0,7258900000.0,1935500000.0
"Fortinet, Inc.",FTNT,United States,Software - Infrastructure,2022,4417400000.0,USD,857300000.0,6228000000.0,1730600000.0
Freeport-McMoRan Inc.,FCX,United States,Copper,2024,25455000000.0,USD,1889000000.0,54848000000.0,7160000000.0
Freeport-McMoRan Inc.,FCX,United States,Copper,2023,22855000000.0,USD,1848000000.0,52506000000.0,5279000000.0
Freeport-McMoRan Inc.,FCX,United States,Copper,2022,22780000000.0,USD,3468000000.0,51093000000.0,5139000000.0
GE Aerospace,GE,United States,Aerospace & Defense,2024,38702000000.0,USD,6556000000.0,123140000000.0,4710000000.0
GE Aerospace,GE,United States,Aerospace & Defense,2023,35348000000.0,USD,9482000000.0,173300000000.0,5189000000.0
GE Aerospace,GE,United States,Aerospace & Defense,2022,29139000000.0,USD,336000000.0,188851000000.0,5917000000.0
"Gartner, Inc.",IT,United States,Information Technology Services,2024,6267411000.0,USD,1253715000.0,8534671000.0,1484922000.0
"Gartner, Inc.",IT,United States,Information Technology Services,2023,5906956000.0,USD,882466000.0,7835919000.0,1155737000.0
"Gartner, Inc.",IT,United States,Information Technology Services,2022,5475846000.0,USD,807799000.0,7299736000.0,1101422000.0
General Dynamics Corporation,GD,United States,Aerospace & Defense,2024,47716000000.0,USD,3782000000.0,55880000000.0,4112000000.0
General Dynamics Corporation,GD,United States,Aerospace & Defense,2023,42272000000.0,USD,3315000000.0,54810000000.0,4710000000.0
General Dynamics Corporation,GD,United States,Aerospace & Defense,2022,39407000000.0,USD,3390000000.0,51585000000.0,4579000000.0
"General Mills, Inc.",GIS,United States,Packaged Foods,2025,19486600000.0,USD,2295200000.0,33071100000.0,2918200000.0
"General Mills, Inc.",GIS,United States,Packaged Foods,2024,19857200000.0,USD,2496600000.0,31469900000.0,3302600000.0
"General Mills, Inc.",GIS,United States,Packaged Foods,2023,20094200000.0,USD,2593900000.0,31451700000.0,2778600000.0
GitLab Inc.,GTLB,United States,Software - Infrastructure,2025,759249000.0,USD,-6326000.0,1399263000.0,-63971000.0
GitLab Inc.,GTLB,United States,Software - Infrastructure,2024,579906000.0,USD,-425677000.0,1321403000.0,35040000.0
GitLab Inc.,GTLB,United States,Software - Infrastructure,2023,424336000.0,USD,-173407000.0,1169200000.0,-77408000.0
Hermès International Société en commandite par actions,HESAY,France,Luxury Goods,2024,15170000000.0,USD,4603000000.0,23084000000.0,5139000000.0
Hermès International Société en commandite par actions,HESAY,France,Luxury Goods,2023,13427000000.0,USD,4311000000.0,20447000000.0,4328000000.0
Hermès International Société en commandite par actions,HESAY,France,Luxury Goods,2022,11601000000.0,USD,3367000000.0,17459000000.0,4184000000.0
Humana Inc.,HUM,United States,Healthcare Plans,2024,117761000000.0,USD,1207000000.0,46479000000.0,2966000000.0
Humana Inc.,HUM,United States,Healthcare Plans,2023,106374000000.0,USD,2489000000.0,47065000000.0,3981000000.0
Humana Inc.,HUM,United States,Healthcare Plans,2022,92870000000.0,USD,2806000000.0,43055000000.0,4587000000.0
"IDEXX Laboratories, Inc.",IDXX,United States,Diagnostics & Research,2024,3897504000.0,USD,887867000.0,3293443000.0,929001000.0
"IDEXX Laboratories, Inc.",IDXX,United States,Diagnostics & Research,2023,3660953000.0,USD,845042000.0,3259925000.0,906510000.0
"IDEXX Laboratories, Inc.",IDXX,United States,Diagnostics & Research,2022,3367324000.0,USD,679089000.0,2746765000.0,542984000.0
IQVIA Holdings Inc.,IQV,United States,Diagnostics & Research,2024,15405000000.0,USD,1373000000.0,26899000000.0,2716000000.0
IQVIA Holdings Inc.,IQV,United States,Diagnostics & Research,2023,14984000000.0,USD,1358000000.0,26681000000.0,2149000000.0
IQVIA Holdings Inc.,IQV,United States,Diagnostics & Research,2022,14410000000.0,USD,1091000000.0,25337000000.0,2260000000.0
Illinois Tool Works Inc.,ITW,United States,Specialty Industrial Machinery,2024,15898000000.0,USD,3488000000.0,15067000000.0,3281000000.0
Illinois Tool Works Inc.,ITW,United States,Specialty Industrial Machinery,2023,16107000000.0,USD,2957000000.0,15518000000.0,3539000000.0
Illinois Tool Works Inc.,ITW,United States,Specialty Industrial Machinery,2022,15932000000.0,USD,3034000000.0,15422000000.0,2348000000.0
Intel Corporation,INTC,United States,Semiconductors,2024,53101000000.0,USD,-18756000000.0,196485000000.0,8288000000.0
Intel Corporation,INTC,United States,Semiconductors,2023,54228000000.0,USD,1689000000.0,191572000000.0,11471000000.0
Intel Corporation,INTC,United States,Semiconductors,2022,63054000000.0,USD,8014000000.0,182103000000.0,15433000000.0
"Intercontinental Exchange, Inc.",ICE,United States,Financial Data & Stock Exchanges,2024,11761000000.0,USD,2754000000.0,139428000000.0,4609000000.0
"Intercontinental Exchange, Inc.",ICE,United States,Financial Data & Stock Exchanges,2023,9903000000.0,USD,2368000000.0,136084000000.0,3542000000.0
"Intercontinental Exchange, Inc.",ICE,United States,Financial Data & Stock Exchanges,2022,9636000000.0,USD,1446000000.0,194338000000.0,3554000000.0
International Business Machines Corporation,IBM,United States,Information Technology Services,2024,62753000000.0,USD,6023000000.0,137175000000.0,13445000000.0
International Business Machines Corporation,IBM,United States,Information Technology Services,2023,61860000000.0,USD,7502000000.0,135241000000.0,13931000000.0
International Business Machines Corporation,IBM,United States,Information Technology Services,2022,60530000000.0,USD,1640000000.0,127243000000.0,10435000000.0
Intuit Inc.,INTU,United States,Software - Application,2025,18831000000.0,USD,3869000000.0,36958000000.0,6207000000.0
Intuit Inc.,INTU,United States,Software - Application,2024,16285000000.0,USD,2963000000.0,32132000000.0,4884000000.0
Intuit Inc.,INTU,United States,Software - Application,2023,14368000000.0,USD,2384000000.0,27780000000.0,5046000000.0
"Intuitive Surgical, Inc.",ISRG,United States,Medical Instruments & Supplies,2024,8352100000.0,USD,2322600000.0,18743200000.0,2415000000.0
"Intuitive Surgical, Inc.",ISRG,United States,Medical Instruments & Supplies,2023,7124100000.0,USD,1798000000.0,15441500000.0,1813800000.0
